"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/PHP/SearchItemsByCategory.php?category=1&categoryName=Antiques+%26+Art+",512,0,280,388,130,7294,1393,0.29
"POST","/PHP/SearchItemsByCategory.php?category=1&categoryName=Books+",482,0,280,399,130,11350,1375,0.27
"POST","/PHP/SearchItemsByCategory.php?category=1&categoryName=Business%2C+Office+%26+Industrial+",564,0,280,316,124,2846,1423,0.31
"POST","/PHP/SearchItemsByCategory.php?category=1&categoryName=Clothing+%26+Accessories+",537,0,280,428,124,12034,1409,0.30
"POST","/PHP/SearchItemsByCategory.php?category=1&categoryName=Coins+",518,0,280,407,130,11452,1375,0.29
"POST","/PHP/SearchItemsByCategory.php?category=1&categoryName=Computers+",513,0,280,391,124,13069,1383,0.29
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Antiques+%26+Art+",532,0,280,412,130,11408,1393,0.30
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Books+",463,0,280,463,131,10084,1375,0.26
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Business%2C+Office+%26+Industrial+",486,0,280,403,129,10859,1423,0.27
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Clothing+%26+Accessories+",494,0,280,340,130,6667,1409,0.28
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Coins+",511,0,270,345,130,7122,1375,0.28
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Computers+",506,0,280,378,134,14498,1383,0.28
"POST","/PHP/SearchItemsByCategory.php?category=11&categoryName=Antiques+%26+Art+",501,0,280,363,130,9156,1393,0.28
"POST","/PHP/SearchItemsByCategory.php?category=11&categoryName=Books+",524,0,280,338,132,9093,1375,0.29
"POST","/PHP/SearchItemsByCategory.php?category=11&categoryName=Business%2C+Office+%26+Industrial+",549,0,280,392,129,10819,1423,0.31
"POST","/PHP/SearchItemsByCategory.php?category=11&categoryName=Clothing+%26+Accessories+",521,0,280,401,124,6858,1409,0.29
"POST","/PHP/SearchItemsByCategory.php?category=11&categoryName=Coins+",473,0,280,346,129,11425,1375,0.26
"POST","/PHP/SearchItemsByCategory.php?category=11&categoryName=Computers+",501,0,280,348,132,11161,1383,0.28
"POST","/PHP/SearchItemsByCategory.php?category=12&categoryName=Antiques+%26+Art+",510,0,280,447,139,11563,1393,0.28
"POST","/PHP/SearchItemsByCategory.php?category=12&categoryName=Books+",531,0,270,349,124,7346,1375,0.30
"POST","/PHP/SearchItemsByCategory.php?category=12&categoryName=Business%2C+Office+%26+Industrial+",500,0,280,391,130,10733,1423,0.28
"POST","/PHP/SearchItemsByCategory.php?category=12&categoryName=Clothing+%26+Accessories+",558,0,280,375,134,11493,1409,0.31
"POST","/PHP/SearchItemsByCategory.php?category=12&categoryName=Coins+",539,0,280,368,130,9124,1375,0.30
