"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Antiques+%26+Art+",240,0,110,115,101,259,1393,0.13,0.00,110,110,110,120,130,140,170,220,260,260,260,260
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Books+",244,0,110,114,102,249,1375,0.14,0.00,110,110,110,110,130,140,170,170,250,250,250,250
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Business%2C+Office+%26+Industrial+",219,0,110,113,100,187,1423,0.12,0.00,110,110,110,110,130,140,160,170,190,190,190,190
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Clothing+%26+Accessories+",215,0,110,113,98,179,1409,0.12,0.00,110,110,110,110,130,140,160,170,180,180,180,180
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Coins+",225,0,110,114,103,218,1375,0.12,0.00,110,110,110,110,130,140,160,180,220,220,220,220
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Computers+",250,0,110,114,103,187,1383,0.14,0.00,110,110,110,110,130,140,170,170,190,190,190,190
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Antiques+%26+Art+",242,0,110,112,101,249,1393,0.13,0.00,110,110,110,110,120,130,160,160,250,250,250,250
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Books+",240,0,110,113,102,250,1375,0.13,0.00,110,110,110,110,120,140,170,170,250,250,250,250
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Business%2C+Office+%26+Industrial+",250,0,110,114,103,203,1423,0.14,0.00,110,110,110,110,130,140,170,190,200,200,200,200
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Clothing+%26+Accessories+",223,0,110,112,100,187,1409,0.12,0.00,110,110,110,110,120,130,160,160,190,190,190,190
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Coins+",239,0,110,115,104,257,1375,0.13,0.00,110,110,110,110,130,160,170,170,260,260,260,260
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Computers+",215,0,110,113,103,182,1383,0.12,0.00,110,110,110,110,120,140,160,170,180,180,180,180
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Antiques+%26+Art+",207,0,110,113,101,206,1393,0.11,0.00,110,110,110,110,130,140,160,170,210,210,210,210
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Books+",227,0,110,116,103,281,1375,0.13,0.00,110,110,110,110,130,160,170,200,280,280,280,280
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Business%2C+Office+%26+Industrial+",240,0,110,116,103,265,1423,0.13,0.00,110,110,110,110,130,170,190,190,270,270,270,270
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Clothing+%26+Accessories+",208,0,110,113,103,187,1409,0.12,0.00,110,110,110,110,130,140,160,170,190,190,190,190
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Coins+",223,0,110,113,98,187,1375,0.12,0.00,110,110,110,110,130,140,170,170,190,190,190,190
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Computers+",225,0,110,113,102,287,1383,0.12,0.00,110,110,110,110,120,140,170,170,290,290,290,290
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Antiques+%26+Art+",245,0,110,113,101,171,1393,0.14,0.00,110,110,110,110,130,140,160,160,170,170,170,170
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Books+",206,0,110,113,102,187,1375,0.11,0.00,110,110,110,110,120,140,160,170,190,190,190,190
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Business%2C+Office+%26+Industrial+",207,0,110,115,100,273,1423,0.11,0.00,110,110,110,110,130,160,170,190,270,270,270,270
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Clothing+%26+Accessories+",258,0,110,113,100,188,1409,0.14,0.00,110,110,110,110,130,140,170,170,190,190,190,190
