"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Antiques+%26+Art+",865,225,7700,12643,33,66216,1030,0.48
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Books+",865,223,7600,12541,28,67995,1020,0.48
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Business%2C+Office+%26+Industrial+",900,199,7700,11980,16,77636,1108,0.50
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Clothing+%26+Accessories+",891,211,8500,12743,91,68773,1075,0.50
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Coins+",886,225,8100,12416,5,75422,1025,0.49
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Computers+",883,223,8200,12782,24,93923,1033,0.49
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Antiques+%26+Art+",884,195,7700,11968,350,70115,1085,0.49
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Books+",880,223,8100,13020,134,111346,1026,0.49
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Business%2C+Office+%26+Industrial+",886,235,8000,12982,15,78032,1045,0.49
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Clothing+%26+Accessories+",907,231,8800,12745,42,127750,1050,0.50
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Coins+",880,205,7800,12297,122,66235,1054,0.49
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Computers+",904,226,7700,12567,20,75530,1037,0.50
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Antiques+%26+Art+",881,188,7500,11737,3,58812,1095,0.49
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Books+",840,191,7800,12087,7,55317,1062,0.47
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Business%2C+Office+%26+Industrial+",886,206,7700,12465,16,149078,1092,0.49
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Clothing+%26+Accessories+",863,210,8400,12857,318,92619,1066,0.48
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Coins+",824,196,7700,12274,67,92619,1047,0.46
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Computers+",878,223,7900,12867,120,66314,1031,0.49
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Antiques+%26+Art+",847,195,7500,11910,6,76113,1072,0.47
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Books+",890,221,8500,12732,16,78994,1033,0.49
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Business%2C+Office+%26+Industrial+",856,203,8000,12604,7,135255,1085,0.48
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Clothing+%26+Accessories+",925,221,8800,12723,12,67430,1072,0.51
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Coins+",846,208,8000,12254,26,129100,1036,0.47
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Computers+",925,217,8000,12569,8,79696,1058,0.51
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Antiques+%26+Art+",904,217,8100,12623,33,71517,1058,0.50
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Books+",951,242,7700,12719,10,111351,1025,0.53
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Business%2C+Office+%26+Industrial+",883,212,7600,12422,3,66859,1081,0.49
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Clothing+%26+Accessories+",877,210,8100,12381,6,91736,1071,0.49
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Coins+",898,208,7700,12043,11,67229,1056,0.50
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Computers+",919,246,8500,13167,298,90211,1012,0.51
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Antiques+%26+Art+",847,196,7400,12175,15,103518,1070,0.47
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Books+",903,216,7900,13026,30,83770,1046,0.50
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Business%2C+Office+%26+Industrial+",873,211,7600,11921,28,96004,1079,0.49
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Clothing+%26+Accessories+",879,230,8100,12906,46,69089,1040,0.49
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Coins+",862,214,8300,12437,19,77630,1033,0.48
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Computers+",830,208,7900,12699,5,92644,1036,0.46
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Antiques+%26+Art+",934,219,8400,12952,34,119205,1066,0.52
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Books+",892,207,7800,12449,6,62179,1055,0.50
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Business%2C+Office+%26+Industrial+",902,194,8100,11876,7,57469,1116,0.50
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Clothing+%26+Accessories+",885,224,7700,12040,2,90097,1052,0.49
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Coins+",895,217,8500,12273,19,77589,1041,0.50
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Computers+",873,216,8000,12882,22,120815,1040,0.49
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Antiques+%26+Art+",830,193,8100,12355,15,69835,1069,0.46
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Books+",842,211,7500,12366,20,61313,1030,0.47
