"Method","Name","Error","Occurrences"
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Computers+","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Antiques+%26+Art+","('Connection aborted.', ConnectionAbortedError(10053, 'An established connection was aborted by the software in your host machine', None, 10053, None))",2
"POST","/PHP/SearchItemsByCategory.php?category=40&categoryName=Computers+","('Connection aborted.', ConnectionAbortedError(10053, 'An established connection was aborted by the software in your host machine', None, 10053, None))",1
"POST","/PHP/SearchItemsByCategory.php?category=58&categoryName=Antiques+%26+Art+","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",2
"POST","/PHP/SearchItemsByCategory.php?category=58&categoryName=Books+","('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",2
"POST","/PHP/SearchItemsByCategory.php?category=61&categoryName=Computers+","('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",2
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Business%2C+Office+%26+Industrial+","('Connection aborted.', ConnectionAbortedError(10053, 'An established connection was aborted by the software in your host machine', None, 10053, None))",1
"POST","/PHP/SearchItemsByCategory.php?category=61&categoryName=Books+","('Connection aborted.', ConnectionAbortedError(10053, 'An established connection was aborted by the software in your host machine', None, 10053, None))",1
"POST","/PHP/SearchItemsByCategory.php?category=79&categoryName=Coins+","('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",1
"POST","/PHP/SearchItemsByCategory.php?category=37&categoryName=Business%2C+Office+%26+Industrial+","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
"POST","/PHP/SearchItemsByCategory.php?category=40&categoryName=Computers+","('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",1
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Clothing+%26+Accessories+","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
"POST","/PHP/SearchItemsByCategory.php?category=7&categoryName=Books+","('Connection aborted.', ConnectionAbortedError(10053, 'An established connection was aborted by the software in your host machine', None, 10053, None))",1
"POST","/PHP/SearchItemsByCategory.php?category=64&categoryName=Clothing+%26+Accessories+","('Connection aborted.', ConnectionAbortedError(10053, 'An established connection was aborted by the software in your host machine', None, 10053, None))",1
"POST","/PHP/SearchItemsByCategory.php?category=40&categoryName=Coins+","('Connection aborted.', ConnectionAbortedError(10053, 'An established connection was aborted by the software in your host machine', None, 10053, None))",1
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Antiques+%26+Art+","('Connection aborted.', ConnectionAbortedError(10053, 'An established connection was aborted by the software in your host machine', None, 10053, None))",1
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Business%2C+Office+%26+Industrial+","('Connection aborted.', ConnectionAbortedError(10053, 'An established connection was aborted by the software in your host machine', None, 10053, None))",1
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Coins+","('Connection aborted.', ConnectionAbortedError(10053, 'An established connection was aborted by the software in your host machine', None, 10053, None))",1
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Coins+","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Computers+","('Connection aborted.', ConnectionAbortedError(10053, 'An established connection was aborted by the software in your host machine', None, 10053, None))",1
"POST","/PHP/SearchItemsByCategory.php?category=79&categoryName=Books+","('Connection aborted.', ConnectionAbortedError(10053, 'An established connection was aborted by the software in your host machine', None, 10053, None))",1
"POST","/PHP/SearchItemsByCategory.php?category=64&categoryName=Books+","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Clothing+%26+Accessories+","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Business%2C+Office+%26+Industrial+","('Connection aborted.', ConnectionAbortedError(10053, 'An established connection was aborted by the software in your host machine', None, 10053, None))",1
"POST","/PHP/SearchItemsByCategory.php?category=61&categoryName=Business%2C+Office+%26+Industrial+","('Connection aborted.', ConnectionAbortedError(10053, 'An established connection was aborted by the software in your host machine', None, 10053, None))",1
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Coins+","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",3
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Clothing+%26+Accessories+","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
"POST","/PHP/SearchItemsByCategory.php?category=7&categoryName=Antiques+%26+Art+","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",2
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Books+","('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",1
"POST","/PHP/SearchItemsByCategory.php?category=79&categoryName=Coins+","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Books+","('Connection aborted.', ConnectionAbortedError(10053, 'An established connection was aborted by the software in your host machine', None, 10053, None))",1
"POST","/PHP/SearchItemsByCategory.php?category=4&categoryName=Business%2C+Office+%26+Industrial+","('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",1
"POST","/PHP/SearchItemsByCategory.php?category=70&categoryName=Coins+","('Connection aborted.', ConnectionAbortedError(10053, 'An established connection was aborted by the software in your host machine', None, 10053, None))",1
"POST","/PHP/SearchItemsByCategory.php?category=64&categoryName=Business%2C+Office+%26+Industrial+","('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",1
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Books+","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",2
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Coins+","('Connection aborted.', ConnectionAbortedError(10053, 'An established connection was aborted by the software in your host machine', None, 10053, None))",1
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Coins+","('Connection aborted.', ConnectionAbortedError(10053, 'An established connection was aborted by the software in your host machine', None, 10053, None))",1
"POST","/PHP/SearchItemsByCategory.php?category=40&categoryName=Computers+","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",2
"POST","/PHP/SearchItemsByCategory.php?category=70&categoryName=Antiques+%26+Art+","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
"POST","/PHP/SearchItemsByCategory.php?category=70&categoryName=Clothing+%26+Accessories+","('Connection aborted.', ConnectionAbortedError(10053, 'An established connection was aborted by the software in your host machine', None, 10053, None))",1
