"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Antiques+%26+Art+",2365,0,120,134,93,3225,1393,1.31,0.00,120,130,130,130,160,190,220,220,3200,3200,3200,3200
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Books+",2311,0,120,131,93,3476,1375,1.28,0.00,120,130,130,130,150,170,200,220,3200,3500,3500,3500
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Business%2C+Office+%26+Industrial+",2271,0,120,136,93,3491,1423,1.26,0.00,120,120,130,130,160,190,220,230,3200,3500,3500,3500
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Clothing+%26+Accessories+",2233,0,120,130,93,3297,1409,1.24,0.00,120,120,130,130,160,180,200,220,3200,3300,3300,3300
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Coins+",2262,0,110,134,93,3223,1375,1.26,0.00,110,120,130,130,160,170,200,230,3200,3200,3200,3200
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Computers+",2210,0,120,137,93,3233,1383,1.23,0.00,120,130,130,130,160,190,220,230,3200,3200,3200,3200
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Antiques+%26+Art+",2319,0,120,132,93,3208,1393,1.29,0.00,120,130,130,130,160,190,220,230,3200,3200,3200,3200
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Books+",2332,0,120,133,93,3235,1375,1.29,0.00,120,120,130,130,140,170,200,220,3200,3200,3200,3200
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Business%2C+Office+%26+Industrial+",2310,0,120,126,93,3209,1423,1.28,0.00,120,130,130,130,140,170,200,230,330,3200,3200,3200
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Clothing+%26+Accessories+",2333,0,110,129,93,3205,1409,1.30,0.00,110,120,130,130,160,180,200,220,3200,3200,3200,3200
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Coins+",2330,0,120,131,93,3217,1375,1.29,0.00,120,120,130,130,160,190,220,230,3200,3200,3200,3200
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Computers+",2258,0,120,128,93,3491,1383,1.25,0.00,120,130,130,130,160,190,200,220,3200,3500,3500,3500
