"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Antiques+%26+Art+",207,1,350,403,19,3807,1386,0.12
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Books+",213,1,340,389,13,3719,1368,0.12
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Business%2C+Office+%26+Industrial+",203,3,350,402,22,3729,1401,0.11
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Clothing+%26+Accessories+",240,2,340,375,18,1304,1397,0.13
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Coins+",234,1,350,405,255,3404,1369,0.13
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Computers+",213,3,340,382,17,1326,1363,0.12
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Antiques+%26+Art+",212,1,350,391,26,3708,1386,0.12
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Books+",209,1,340,379,26,1395,1368,0.12
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Business%2C+Office+%26+Industrial+",275,1,330,382,14,3726,1417,0.15
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Clothing+%26+Accessories+",232,1,350,488,6,4689,1402,0.13
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Coins+",228,0,340,389,269,3736,1375,0.13
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Computers+",238,2,340,403,3,3790,1371,0.13
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Antiques+%26+Art+",220,0,340,399,266,3785,1393,0.12
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Books+",254,1,360,393,7,3844,1369,0.14
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Business%2C+Office+%26+Industrial+",214,1,340,371,77,925,1416,0.12
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Clothing+%26+Accessories+",219,2,340,461,6,4633,1396,0.12
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Coins+",218,1,350,390,5,3732,1368,0.12
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Computers+",212,0,330,377,272,3838,1383,0.12
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Antiques+%26+Art+",216,2,330,408,12,4017,1380,0.12
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Books+",226,1,340,379,22,4777,1368,0.13
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Business%2C+Office+%26+Industrial+",244,1,330,428,272,4277,1417,0.14
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Clothing+%26+Accessories+",209,2,340,429,5,4748,1395,0.12
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Coins+",195,0,340,454,270,4203,1375,0.11
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Computers+",224,0,340,386,270,1529,1383,0.12
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Antiques+%26+Art+",195,1,340,369,8,1062,1385,0.11
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Books+",203,0,320,349,269,668,1375,0.11
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Business%2C+Office+%26+Industrial+",236,1,340,405,4,4775,1416,0.13
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Clothing+%26+Accessories+",214,0,330,407,268,3949,1409,0.12
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Coins+",217,1,340,369,1,1378,1368,0.12
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Computers+",227,0,350,381,268,1468,1383,0.13
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Antiques+%26+Art+",240,1,340,390,6,3929,1387,0.13
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Books+",231,0,350,411,267,4197,1375,0.13
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Business%2C+Office+%26+Industrial+",221,2,350,430,6,5011,1410,0.12
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Clothing+%26+Accessories+",221,1,340,395,6,3818,1402,0.12
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Coins+",211,1,340,416,12,4551,1368,0.12
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Computers+",220,2,340,360,18,979,1370,0.12
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Antiques+%26+Art+",220,3,340,382,8,3873,1374,0.12
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Books+",249,0,340,379,272,1505,1375,0.14
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Business%2C+Office+%26+Industrial+",210,0,340,377,267,1362,1423,0.12
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Clothing+%26+Accessories+",223,1,340,403,219,4951,1402,0.12
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Coins+",217,3,330,362,4,1296,1355,0.12
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Computers+",224,3,340,398,18,3937,1364,0.12
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Antiques+%26+Art+",233,0,340,436,268,4738,1393,0.13
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Books+",219,1,330,371,60,1136,1368,0.12
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Business%2C+Office+%26+Industrial+",188,2,340,378,95,1429,1407,0.10
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Clothing+%26+Accessories+",235,1,350,401,24,3749,1403,0.13
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Coins+",226,0,330,382,270,3729,1375,0.13
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Computers+",220,1,340,398,12,3776,1376,0.12
"POST","/PHP/SearchItemsByCategory.php?category=37&categoryName=Antiques+%26+Art+",255,0,340,382,274,1488,1393,0.14
"POST","/PHP/SearchItemsByCategory.php?category=37&categoryName=Books+",212,0,340,397,271,3825,1375,0.12
"POST","/PHP/SearchItemsByCategory.php?category=37&categoryName=Business%2C+Office+%26+Industrial+",223,0,340,389,270,3753,1423,0.12
"POST","/PHP/SearchItemsByCategory.php?category=37&categoryName=Clothing+%26+Accessories+",233,2,330,388,114,3713,1396,0.13
"POST","/PHP/SearchItemsByCategory.php?category=37&categoryName=Coins+",233,1,350,394,10,5051,1369,0.13
"POST","/PHP/SearchItemsByCategory.php?category=37&categoryName=Computers+",239,0,320,366,267,985,1383,0.13
"POST","/PHP/SearchItemsByCategory.php?category=4&categoryName=Antiques+%26+Art+",215,1,350,454,2,4597,1386,0.12
"POST","/PHP/SearchItemsByCategory.php?category=4&categoryName=Books+",238,2,330,369,9,1196,1363,0.13
"POST","/PHP/SearchItemsByCategory.php?category=4&categoryName=Business%2C+Office+%26+Industrial+",233,2,340,399,13,3909,1410,0.13
"POST","/PHP/SearchItemsByCategory.php?category=4&categoryName=Clothing+%26+Accessories+",200,2,330,398,5,3824,1394,0.11
"POST","/PHP/SearchItemsByCategory.php?category=4&categoryName=Coins+",224,1,330,395,268,4223,1368,0.12
"POST","/PHP/SearchItemsByCategory.php?category=4&categoryName=Computers+",223,2,350,387,14,2458,1370,0.12
"POST","/PHP/SearchItemsByCategory.php?category=40&categoryName=Antiques+%26+Art+",228,2,340,386,3,1537,1380,0.13
"POST","/PHP/SearchItemsByCategory.php?category=40&categoryName=Books+",229,1,350,429,20,4430,1368,0.13
"POST","/PHP/SearchItemsByCategory.php?category=40&categoryName=Business%2C+Office+%26+Industrial+",206,0,340,407,269,3868,1423,0.11
"POST","/PHP/SearchItemsByCategory.php?category=40&categoryName=Clothing+%26+Accessories+",200,1,330,379,46,3740,1401,0.11
"POST","/PHP/SearchItemsByCategory.php?category=40&categoryName=Coins+",193,1,330,372,7,1325,1367,0.11
"POST","/PHP/SearchItemsByCategory.php?category=40&categoryName=Computers+",216,1,340,384,71,1759,1376,0.12
"POST","/PHP/SearchItemsByCategory.php?category=58&categoryName=Antiques+%26+Art+",210,1,330,404,3,3946,1386,0.12
"POST","/PHP/SearchItemsByCategory.php?category=58&categoryName=Books+",232,0,340,405,271,4966,1375,0.13
"POST","/PHP/SearchItemsByCategory.php?category=58&categoryName=Business%2C+Office+%26+Industrial+",229,1,340,408,116,3751,1416,0.13
"POST","/PHP/SearchItemsByCategory.php?category=58&categoryName=Clothing+%26+Accessories+",227,0,350,398,269,3943,1409,0.13
"POST","/PHP/SearchItemsByCategory.php?category=58&categoryName=Coins+",224,0,330,395,271,3782,1375,0.12
"POST","/PHP/SearchItemsByCategory.php?category=58&categoryName=Computers+",207,4,340,396,7,4547,1356,0.12
"POST","/PHP/SearchItemsByCategory.php?category=61&categoryName=Antiques+%26+Art+",234,2,340,426,9,5140,1381,0.13
"POST","/PHP/SearchItemsByCategory.php?category=61&categoryName=Books+",223,1,340,442,12,3742,1368,0.12
"POST","/PHP/SearchItemsByCategory.php?category=61&categoryName=Business%2C+Office+%26+Industrial+",239,1,340,381,34,3792,1417,0.13
"POST","/PHP/SearchItemsByCategory.php?category=61&categoryName=Clothing+%26+Accessories+",219,2,320,386,7,4969,1396,0.12
"POST","/PHP/SearchItemsByCategory.php?category=61&categoryName=Coins+",229,1,350,416,6,4249,1368,0.13
"POST","/PHP/SearchItemsByCategory.php?category=61&categoryName=Computers+",230,0,350,403,270,3997,1383,0.13
