"Type","Name","Timestamp","# requests","# failures","Requests/s","Requests Failed/s","Median response time","Average response time","Min response time","Max response time","Average Content Size","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"None","Aggregated","1588516627",71,0,0.00,0.00,16,16,0,31.28,1393.65,0,0,0,0,0,0,0,0,0,0,0,0
"None","Aggregated","1588516629",219,0,49.00,0.00,16,17,0,78.16,1394.33,16,16,16,16,17,31,31,47,78,78,78,78
"None","Aggregated","1588516631",408,0,64.33,0.00,16,17,0,109.37,1394.41,16,16,16,16,31,31,47,62,110,110,110,110
"None","Aggregated","1588516633",644,0,73.60,0.00,16,16,0,171.90,1393.73,16,16,16,16,16,31,31,62,170,170,170,170
"None","Aggregated","1588516635",779,0,83.29,0.00,16,16,0,203.14,1393.46,16,16,16,16,16,31,47,110,200,200,200,200
"None","Aggregated","1588516638",957,0,80.78,0.00,16,16,0,203.14,1393.23,16,16,16,16,17,31,47,170,200,200,200,200
"None","Aggregated","1588516640",1151,0,84.10,0.00,16,16,0,203.14,1393.61,16,16,16,16,16,31,47,170,200,200,200,200
"None","Aggregated","1588516642",1330,0,87.70,0.00,16,15,0,203.14,1393.54,16,16,16,16,17,31,47,63,200,200,200,200
"None","Aggregated","1588516644",1508,0,84.00,0.00,16,15,0,234.35,1393.39,16,16,16,16,31,31,47,47,230,230,230,230
"None","Aggregated","1588516646",1687,0,80.60,0.00,16,15,0,234.35,1393.30,16,16,16,16,31,31,47,47,230,230,230,230
"None","Aggregated","1588516649",1873,0,83.30,0.00,16,15,0,234.35,1393.12,16,16,16,16,18,31,47,47,230,230,230,230
"None","Aggregated","1588516651",2052,0,84.90,0.00,16,14,0,235.81,1393.01,16,16,16,16,17,31,47,47,240,240,240,240
"None","Aggregated","1588516653",2244,0,82.40,0.00,16,14,0,235.81,1393.06,16,16,16,16,16,31,31,47,240,240,240,240
"None","Aggregated","1588516655",2402,0,82.20,0.00,16,14,0,235.81,1393.18,16,16,16,16,16,31,31,47,240,240,240,240
"None","Aggregated","1588516657",2581,0,81.50,0.00,16,14,0,235.81,1393.06,16,16,16,16,16,31,31,47,240,240,240,240
"None","Aggregated","1588516659",2754,0,82.00,0.00,16,14,0,249.97,1393.06,16,16,16,16,16,31,31,47,250,250,250,250
"None","Aggregated","1588516662",2935,0,81.80,0.00,16,14,0,249.97,1393.13,16,16,16,16,16,31,47,63,250,250,250,250
"None","Aggregated","1588516664",3110,0,80.50,0.00,16,14,0,249.97,1393.15,16,16,16,16,31,31,47,220,250,250,250,250
"None","Aggregated","1588516666",3298,0,80.30,0.00,16,14,0,249.97,1393.15,16,16,16,16,31,31,47,220,250,250,250,250
"None","Aggregated","1588516668",3471,0,83.40,0.00,16,14,0,249.97,1393.10,16,16,16,16,16,31,47,47,220,220,220,220
"None","Aggregated","1588516670",3661,0,81.80,0.00,16,14,0,249.97,1393.04,16,16,16,16,16,31,47,47,220,220,220,220
"None","Aggregated","1588516673",3850,0,82.80,0.00,16,14,0,249.97,1393.06,16,16,16,16,16,31,47,47,62,62,62,62
"None","Aggregated","1588516675",4041,0,82.20,0.00,16,14,0,271.42,1393.14,16,16,16,16,31,31,47,47,270,270,270,270
"None","Aggregated","1588516677",4216,0,83.90,0.00,16,14,0,271.42,1393.11,16,16,16,16,31,47,47,47,270,270,270,270
"None","Aggregated","1588516679",4393,0,82.10,0.00,16,14,0,271.42,1393.06,16,16,16,16,31,47,47,220,270,270,270,270
"None","Aggregated","1588516681",4581,0,83.00,0.00,16,14,0,271.42,1393.15,16,16,16,16,31,47,47,220,270,270,270,270
"None","Aggregated","1588516684",4757,0,83.40,0.00,16,14,0,271.42,1393.12,16,16,16,16,31,31,47,220,270,270,270,270
"None","Aggregated","1588516686",4928,0,80.60,0.00,16,14,0,271.42,1393.08,16,16,16,16,16,31,31,47,240,240,240,240
"None","Aggregated","1588516688",5115,0,81.00,0.00,16,14,0,271.42,1393.08,16,16,16,16,31,31,31,47,230,230,230,230
"None","Aggregated","1588516690",5283,0,81.40,0.00,16,14,0,271.42,1393.04,16,16,16,16,31,31,31,31,230,230,230,230
"None","Aggregated","1588516692",5462,0,81.40,0.00,16,14,0,271.42,1393.03,16,16,16,16,25,31,31,47,230,230,230,230
"None","Aggregated","1588516695",5657,0,81.30,0.00,16,14,0,271.42,1392.99,16,16,16,16,31,31,47,47,230,230,230,230
"None","Aggregated","1588516697",5844,0,81.50,0.00,16,14,0,271.42,1393.03,16,16,16,16,25,31,47,47,230,230,230,230
"None","Aggregated","1588516699",6022,0,83.30,0.00,16,14,0,271.42,1393.04,16,16,16,16,27,31,47,220,230,230,230,230
"None","Aggregated","1588516701",6193,0,82.80,0.00,16,14,0,271.42,1393.09,16,16,16,16,31,47,47,62,230,230,230,230
"None","Aggregated","1588516703",6394,0,83.50,0.00,16,14,0,271.42,1393.08,16,16,16,16,27,31,47,62,230,230,230,230
"None","Aggregated","1588516706",6570,0,84.50,0.00,16,14,0,271.42,1393.01,16,16,16,16,31,31,47,62,230,230,230,230
"None","Aggregated","1588516708",6760,0,81.50,0.00,16,14,0,271.42,1392.99,16,16,16,16,16,31,47,47,220,220,220,220
"None","Aggregated","1588516710",6937,0,83.60,0.00,16,14,0,271.42,1392.98,16,16,16,16,16,31,31,47,220,220,220,220
"None","Aggregated","1588516712",7110,0,83.30,0.00,16,14,0,271.42,1392.99,16,16,16,16,16,31,31,47,230,230,230,230
"None","Aggregated","1588516714",7302,0,84.30,0.00,16,14,0,271.42,1393.04,16,16,16,16,16,17,31,31,230,230,230,230
"None","Aggregated","1588516716",7481,0,82.70,0.00,16,14,0,271.42,1393.09,16,16,16,16,16,31,31,47,230,230,230,230
"None","Aggregated","1588516719",7659,0,85.00,0.00,16,14,0,271.42,1393.11,16,16,16,16,16,31,31,47,230,230,230,230
"None","Aggregated","1588516721",7842,0,81.40,0.00,16,14,0,271.42,1393.10,16,16,16,16,17,31,31,47,230,230,230,230
"None","Aggregated","1588516723",8023,0,82.90,0.00,16,14,0,271.42,1393.08,16,16,16,16,17,31,31,63,230,230,230,230
"None","Aggregated","1588516725",8194,0,84.30,0.00,16,14,0,271.42,1393.09,16,16,16,16,16,31,31,47,230,230,230,230
"None","Aggregated","1588516727",8388,0,82.00,0.00,16,14,0,271.42,1393.07,16,16,16,16,16,31,47,47,250,250,250,250
"None","Aggregated","1588516729",8566,0,82.90,0.00,16,14,0,271.42,1393.07,16,16,16,16,16,31,31,47,250,250,250,250
"None","Aggregated","1588516732",8762,0,84.50,0.00,16,13,0,271.42,1393.09,16,16,16,16,16,31,47,47,250,250,250,250
"None","Aggregated","1588516734",8935,0,85.20,0.00,16,13,0,271.42,1393.10,16,16,16,16,16,31,47,47,250,250,250,250
