"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Antiques+%26+Art+",1112,0,16,9,0,78,1393,0.62,0.00,16,16,16,16,16,16,17,31,78,78,78,78
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Books+",1214,0,16,9,0,78,1375,0.67,0.00,16,16,16,16,16,16,31,31,78,78,78,78
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Business%2C+Office+%26+Industrial+",1171,0,16,10,0,93,1423,0.65,0.00,16,16,16,16,16,16,31,33,94,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Clothing+%26+Accessories+",1152,0,16,10,0,93,1409,0.64,0.00,16,16,16,16,16,16,31,47,94,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Coins+",1158,0,16,10,0,78,1375,0.64,0.00,16,16,16,16,16,16,31,62,78,78,78,78
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Computers+",1198,0,16,10,0,89,1383,0.67,0.00,16,16,16,16,16,16,31,37,78,90,90,90
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Antiques+%26+Art+",1158,0,16,9,0,78,1393,0.64,0.00,16,16,16,16,16,16,31,63,78,78,78,78
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Books+",1174,0,16,10,0,93,1375,0.65,0.00,16,16,16,16,16,16,31,78,94,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Business%2C+Office+%26+Industrial+",1172,0,16,9,0,78,1423,0.65,0.00,16,16,16,16,16,16,31,31,78,78,78,78
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Clothing+%26+Accessories+",1183,0,16,10,0,93,1409,0.66,0.00,16,16,16,16,16,16,31,34,94,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Coins+",1162,0,16,10,0,93,1375,0.65,0.00,16,16,16,16,16,16,31,78,94,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Computers+",1165,0,16,10,0,109,1383,0.65,0.00,16,16,16,16,16,16,31,47,94,110,110,110
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Antiques+%26+Art+",1146,0,16,10,0,93,1393,0.64,0.00,16,16,16,16,16,16,31,62,94,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Books+",1185,0,16,10,0,109,1375,0.66,0.00,16,16,16,16,16,16,31,63,94,110,110,110
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Business%2C+Office+%26+Industrial+",1222,0,16,10,0,218,1423,0.68,0.00,16,16,16,16,16,16,24,31,110,220,220,220
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Clothing+%26+Accessories+",1168,0,16,9,0,78,1409,0.65,0.00,16,16,16,16,16,16,16,31,78,78,78,78
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Coins+",1154,0,16,10,0,78,1375,0.64,0.00,16,16,16,16,16,16,31,31,78,78,78,78
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Computers+",1175,0,16,9,0,93,1383,0.65,0.00,16,16,16,16,16,16,17,31,78,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Antiques+%26+Art+",1134,0,16,10,0,93,1393,0.63,0.00,16,16,16,16,16,16,17,31,78,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Books+",1150,0,16,10,0,93,1375,0.64,0.00,16,16,16,16,16,16,31,62,88,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Business%2C+Office+%26+Industrial+",1197,0,16,10,0,250,1423,0.66,0.00,16,16,16,16,16,16,31,63,79,250,250,250
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Clothing+%26+Accessories+",1129,0,16,11,0,1019,1409,0.63,0.00,16,16,16,16,16,16,31,66,94,1000,1000,1000
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Coins+",1114,0,16,10,0,78,1375,0.62,0.00,16,16,16,16,16,16,24,31,78,78,78,78
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Computers+",1194,0,16,10,0,78,1383,0.66,0.00,16,16,16,16,16,16,24,31,78,78,78,78
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Antiques+%26+Art+",1179,0,16,10,0,109,1393,0.65,0.00,16,16,16,16,16,16,31,63,94,110,110,110
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Books+",1195,0,16,10,0,109,1375,0.66,0.00,16,16,16,16,16,16,31,63,95,110,110,110
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Business%2C+Office+%26+Industrial+",1129,0,16,10,0,93,1423,0.63,0.00,16,16,16,16,16,16,31,31,78,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Clothing+%26+Accessories+",1172,0,16,10,0,109,1409,0.65,0.00,16,16,16,16,16,16,31,63,96,110,110,110
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Coins+",1219,0,16,10,0,93,1375,0.68,0.00,16,16,16,16,16,16,31,31,78,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Computers+",1160,0,16,9,0,93,1383,0.64,0.00,16,16,16,16,16,16,22,31,94,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Antiques+%26+Art+",1166,0,16,10,0,78,1393,0.65,0.00,16,16,16,16,16,16,31,62,78,78,78,78
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Books+",1144,0,16,10,0,109,1375,0.64,0.00,16,16,16,16,16,16,31,78,94,110,110,110
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Business%2C+Office+%26+Industrial+",1137,0,16,10,0,93,1423,0.63,0.00,16,16,16,16,16,16,23,31,94,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Clothing+%26+Accessories+",1199,0,16,10,0,93,1409,0.67,0.00,16,16,16,16,16,16,31,63,94,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Coins+",1157,0,16,10,0,93,1375,0.64,0.00,16,16,16,16,16,16,31,31,78,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Computers+",1160,0,16,10,0,93,1383,0.64,0.00,16,16,16,16,16,16,31,31,78,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Antiques+%26+Art+",1217,0,16,10,0,93,1393,0.68,0.00,16,16,16,16,16,16,31,47,78,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Books+",1177,0,16,9,0,95,1375,0.65,0.00,16,16,16,16,16,16,18,32,94,95,95,95
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Business%2C+Office+%26+Industrial+",1185,0,16,11,0,109,1423,0.66,0.00,16,16,16,16,16,16,31,78,94,110,110,110
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Clothing+%26+Accessories+",1178,0,16,10,0,93,1409,0.65,0.00,16,16,16,16,16,16,31,63,94,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Coins+",1210,0,16,10,0,93,1375,0.67,0.00,16,16,16,16,16,16,31,31,94,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Computers+",1128,0,16,10,0,78,1383,0.63,0.00,16,16,16,16,16,16,31,31,78,78,78,78
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Antiques+%26+Art+",1161,0,16,11,0,1022,1393,0.64,0.00,16,16,16,16,16,16,31,63,94,1000,1000,1000
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Books+",1188,0,16,10,0,78,1375,0.66,0.00,16,16,16,16,16,16,31,31,78,78,78,78
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Business%2C+Office+%26+Industrial+",1169,0,16,10,0,93,1423,0.65,0.00,16,16,16,16,16,16,31,31,94,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Clothing+%26+Accessories+",1122,0,16,10,0,93,1409,0.62,0.00,16,16,16,16,16,16,31,63,78,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Coins+",1171,0,16,10,0,93,1375,0.65,0.00,16,16,16,16,16,16,31,63,94,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Computers+",1116,0,16,10,0,93,1383,0.62,0.00,16,16,16,16,16,16,27,62,78,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=37&categoryName=Antiques+%26+Art+",1227,0,16,10,0,78,1393,0.68,0.00,16,16,16,16,16,16,31,31,78,78,78,78
"POST","/PHP/SearchItemsByCategory.php?category=37&categoryName=Books+",1219,0,16,10,0,93,1375,0.68,0.00,16,16,16,16,16,16,31,34,94,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=37&categoryName=Business%2C+Office+%26+Industrial+",1170,0,16,10,0,109,1423,0.65,0.00,16,16,16,16,16,16,31,31,94,110,110,110
"POST","/PHP/SearchItemsByCategory.php?category=37&categoryName=Clothing+%26+Accessories+",1144,0,16,9,0,78,1409,0.64,0.00,16,16,16,16,16,16,31,31,78,78,78,78
"POST","/PHP/SearchItemsByCategory.php?category=37&categoryName=Coins+",1195,0,16,10,0,109,1375,0.66,0.00,16,16,16,16,16,16,31,62,94,110,110,110
"POST","/PHP/SearchItemsByCategory.php?category=37&categoryName=Computers+",1186,0,16,10,0,93,1383,0.66,0.00,16,16,16,16,16,16,31,31,94,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=4&categoryName=Antiques+%26+Art+",1217,0,16,10,0,95,1393,0.68,0.00,16,16,16,16,16,16,31,62,94,95,95,95
"POST","/PHP/SearchItemsByCategory.php?category=4&categoryName=Books+",1205,0,16,10,0,109,1375,0.67,0.00,16,16,16,16,16,16,31,63,79,110,110,110
"POST","/PHP/SearchItemsByCategory.php?category=4&categoryName=Business%2C+Office+%26+Industrial+",1187,0,16,10,0,95,1423,0.66,0.00,16,16,16,16,16,16,17,31,94,96,96,96
"POST","/PHP/SearchItemsByCategory.php?category=4&categoryName=Clothing+%26+Accessories+",1222,0,16,10,0,93,1409,0.68,0.00,16,16,16,16,16,16,31,31,94,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=4&categoryName=Coins+",1174,0,16,10,0,93,1375,0.65,0.00,16,16,16,16,16,16,31,31,94,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=4&categoryName=Computers+",1202,0,16,10,0,218,1383,0.67,0.00,16,16,16,16,16,16,31,78,94,220,220,220
"POST","/PHP/SearchItemsByCategory.php?category=40&categoryName=Antiques+%26+Art+",1185,0,16,11,0,1027,1393,0.66,0.00,16,16,16,16,16,16,20,47,94,1000,1000,1000
"POST","/PHP/SearchItemsByCategory.php?category=40&categoryName=Books+",1182,0,16,10,0,93,1375,0.66,0.00,16,16,16,16,16,16,31,31,91,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=40&categoryName=Business%2C+Office+%26+Industrial+",1210,0,16,9,0,79,1423,0.67,0.00,16,16,16,16,16,16,31,31,63,80,80,80
"POST","/PHP/SearchItemsByCategory.php?category=40&categoryName=Clothing+%26+Accessories+",1190,0,16,10,0,95,1409,0.66,0.00,16,16,16,16,16,16,31,78,94,95,95,95
"POST","/PHP/SearchItemsByCategory.php?category=40&categoryName=Coins+",1158,0,16,10,0,93,1375,0.64,0.00,16,16,16,16,16,16,17,31,78,94,94,94
