"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Antiques+%26+Art+",1253,317,7700,11541,46,264928,1040,0.70
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Books+",1295,300,7200,10021,9,207731,1056,0.72
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Business%2C+Office+%26+Industrial+",1241,318,7200,10373,14,184318,1058,0.69
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Clothing+%26+Accessories+",1290,282,7600,10967,12,129344,1100,0.72
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Coins+",1267,281,7800,11112,9,193900,1070,0.70
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Computers+",1261,301,7700,10393,61,152885,1052,0.70
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Antiques+%26+Art+",1238,297,7000,10068,49,228166,1058,0.69
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Books+",1273,289,7400,10361,9,218407,1062,0.71
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Business%2C+Office+%26+Industrial+",1262,280,7500,10855,2,195510,1107,0.70
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Clothing+%26+Accessories+",1257,281,7200,10736,31,285702,1094,0.70
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Coins+",1246,290,7600,10500,40,161716,1054,0.69
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Computers+",1299,294,7300,10515,9,222342,1069,0.72
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Antiques+%26+Art+",1275,273,7500,11380,47,242470,1094,0.71
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Books+",1265,300,7200,10218,31,183929,1048,0.70
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Business%2C+Office+%26+Industrial+",1238,267,7400,10627,2,175519,1116,0.69
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Clothing+%26+Accessories+",1252,283,7400,10319,53,195522,1090,0.70
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Coins+",1320,286,7800,11848,33,271246,1077,0.73
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Computers+",1241,287,7600,10905,7,207359,1063,0.69
