"Type","Name","Timestamp","# requests","# failures","Requests/s","Requests Failed/s","Median response time","Average response time","Min response time","Max response time","Average Content Size","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"None","Aggregated","1588440832",61,0,0.00,0.00,31,77,15,171.81,1392.31,0,0,0,0,0,0,0,0,0,0,0,0
"None","Aggregated","1588440834",195,0,32.00,0.00,31,82,14,173.29,1395.10,140,140,150,160,160,160,160,160,170,170,170,170
"None","Aggregated","1588440836",367,0,54.33,0.00,31,84,14,484.38,1394.61,140,140,140,160,160,160,170,200,480,480,480,480
"None","Aggregated","1588440839",593,0,62.20,0.00,110,88,14,484.38,1394.04,140,140,160,160,160,160,220,310,480,480,480,480
"None","Aggregated","1588440841",856,0,71.57,0.00,140,90,11,484.38,1393.51,140,140,160,160,160,160,300,340,480,480,480,480
"None","Aggregated","1588440843",1191,0,85.60,0.00,140,90,0,484.38,1393.66,140,140,160,160,160,170,300,330,410,480,480,480
"None","Aggregated","1588440845",1584,0,107.70,0.00,120,91,0,1157.64,1393.63,140,140,160,160,160,170,300,340,410,1200,1200,1200
"None","Aggregated","1588440847",2036,0,129.00,0.00,140,96,0,1157.64,1393.19,140,160,160,160,170,190,310,390,500,1200,1200,1200
"None","Aggregated","1588440850",2522,0,151.70,0.00,140,106,0,1157.64,1393.26,140,160,160,170,220,300,390,450,560,1200,1200,1200
"None","Aggregated","1588440852",3076,0,180.60,0.00,140,116,0,1157.64,1393.52,140,160,170,190,270,360,450,500,600,1200,1200,1200
"None","Aggregated","1588440854",3609,0,204.00,0.00,140,124,0,1157.64,1393.27,160,170,190,220,310,370,450,480,560,600,600,600
"None","Aggregated","1588440856",4212,0,223.80,0.00,140,150,0,1157.64,1393.09,170,200,260,310,410,500,590,720,840,860,860,860
"None","Aggregated","1588440859",4770,0,230.90,0.00,160,191,0,1157.64,1393.23,210,350,470,520,610,670,700,730,860,990,990,990
"None","Aggregated","1588440861",5273,0,244.70,0.00,160,269,0,1687.43,1393.16,350,530,630,670,1300,1400,1500,1600,1700,1700,1700,1700
"None","Aggregated","1588440863",5857,0,242.90,0.00,160,379,0,2419.96,1393.22,550,1200,1400,1500,1800,1900,1900,1900,2400,2400,2400,2400
"None","Aggregated","1588440866",6380,0,241.90,0.00,170,467,0,2419.96,1393.21,1300,1600,1700,1800,1900,1900,2100,2100,2400,2400,2400,2400
"None","Aggregated","1588440868",6964,0,233.00,0.00,180,577,0,2617.39,1393.29,1700,1800,1900,2100,2400,2500,2600,2600,2600,2600,2600,2600
"None","Aggregated","1588440870",7632,2,241.70,0.00,190,689,0,2643.79,1392.91,1800,2200,2400,2400,2500,2500,2600,2600,2600,2600,2600,2600
"None","Aggregated","1588440872",8179,2,258.20,0.20,200,755,0,2690.32,1392.96,2100,2300,2400,2400,2500,2600,2600,2600,2700,2700,2700,2700
"None","Aggregated","1588440875",8869,2,255.80,0.20,230,812,0,2802.56,1392.94,2200,2400,2400,2400,2500,2600,2600,2600,2800,2800,2800,2800
"None","Aggregated","1588440877",9514,2,273.60,0.20,260,835,0,2802.56,1392.93,1800,2200,2300,2400,2500,2500,2600,2600,2800,2800,2800,2800
"None","Aggregated","1588440879",10070,5,280.50,0.20,280,854,0,2802.56,1392.49,1700,1900,2100,2200,2400,2500,2500,2600,2800,2800,2800,2800
"None","Aggregated","1588440882",10747,5,262.70,0.30,340,884,0,2802.56,1392.46,1600,1800,1900,1900,2100,2200,2400,2500,2800,2800,2800,2800
"None","Aggregated","1588440884",11384,6,279.30,0.30,380,897,0,2802.56,1392.40,1500,1700,1800,1800,1900,2100,2100,2200,2200,2200,2200,2200
