"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Antiques+%26+Art+",194,0,110,111,99,173,1393,0.11,0.00,110,110,110,110,110,120,160,170,170,170,170,170
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Books+",248,0,110,112,99,187,1375,0.14,0.00,110,110,110,110,120,130,170,170,190,190,190,190
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Business%2C+Office+%26+Industrial+",241,0,110,112,104,222,1423,0.13,0.00,110,110,110,110,120,130,140,170,220,220,220,220
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Clothing+%26+Accessories+",200,0,110,112,104,187,1409,0.11,0.00,110,110,110,110,110,130,170,170,190,190,190,190
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Coins+",233,0,110,112,101,218,1375,0.13,0.00,110,110,110,110,120,130,140,170,220,220,220,220
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Computers+",235,0,110,112,100,171,1383,0.13,0.00,110,110,110,110,120,130,160,170,170,170,170,170
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Antiques+%26+Art+",225,0,110,112,100,171,1393,0.12,0.00,110,110,110,110,130,140,160,160,170,170,170,170
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Books+",234,0,110,112,99,188,1375,0.13,0.00,110,110,110,110,120,130,170,170,190,190,190,190
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Business%2C+Office+%26+Industrial+",262,0,110,112,104,171,1423,0.15,0.00,110,110,110,110,120,130,160,160,170,170,170,170
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Clothing+%26+Accessories+",214,0,110,113,103,187,1409,0.12,0.00,110,110,110,110,110,140,170,170,190,190,190,190
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Coins+",214,0,110,111,103,171,1375,0.12,0.00,110,110,110,110,110,130,160,170,170,170,170,170
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Computers+",226,0,110,114,105,234,1383,0.13,0.00,110,110,110,110,110,160,170,170,230,230,230,230
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Antiques+%26+Art+",225,0,110,111,98,171,1393,0.12,0.00,110,110,110,110,110,130,160,160,170,170,170,170
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Books+",233,0,110,112,98,171,1375,0.13,0.00,110,110,110,110,120,140,160,170,170,170,170,170
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Business%2C+Office+%26+Industrial+",221,0,110,111,104,172,1423,0.12,0.00,110,110,110,110,110,130,160,160,170,170,170,170
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Clothing+%26+Accessories+",226,0,110,112,100,187,1409,0.13,0.00,110,110,110,110,110,130,160,170,190,190,190,190
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Coins+",218,0,110,113,99,173,1375,0.12,0.00,110,110,110,110,120,140,170,170,170,170,170,170
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Computers+",195,0,110,113,102,172,1383,0.11,0.00,110,110,110,110,120,160,170,170,170,170,170,170
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Antiques+%26+Art+",219,0,110,113,99,187,1393,0.12,0.00,110,110,110,110,120,140,170,170,190,190,190,190
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Books+",242,0,110,114,104,171,1375,0.13,0.00,110,110,110,110,130,160,170,170,170,170,170,170
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Business%2C+Office+%26+Industrial+",218,0,110,113,98,183,1423,0.12,0.00,110,110,110,110,120,160,170,170,180,180,180,180
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Clothing+%26+Accessories+",236,0,110,112,104,187,1409,0.13,0.00,110,110,110,110,110,130,160,160,190,190,190,190
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Coins+",195,0,110,113,105,171,1375,0.11,0.00,110,110,110,110,120,160,170,170,170,170,170,170
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Computers+",231,0,110,112,105,187,1383,0.13,0.00,110,110,110,110,120,140,160,170,190,190,190,190
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Antiques+%26+Art+",212,0,110,112,97,171,1393,0.12,0.00,110,110,110,110,110,130,150,160,170,170,170,170
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Books+",206,0,110,113,103,190,1375,0.11,0.00,110,110,110,110,120,160,170,170,190,190,190,190
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Business%2C+Office+%26+Industrial+",247,0,110,112,102,174,1423,0.14,0.00,110,110,110,110,110,140,170,170,170,170,170,170
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Clothing+%26+Accessories+",233,0,110,112,104,171,1409,0.13,0.00,110,110,110,110,120,130,170,170,170,170,170,170
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Coins+",239,0,110,113,103,171,1375,0.13,0.00,110,110,110,110,120,140,170,170,170,170,170,170
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Computers+",226,0,110,112,100,187,1383,0.13,0.00,110,110,110,110,120,130,170,180,190,190,190,190
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Antiques+%26+Art+",221,0,110,114,102,187,1393,0.12,0.00,110,110,110,110,130,160,170,170,190,190,190,190
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Books+",246,0,110,114,104,171,1375,0.14,0.00,110,110,110,110,130,160,170,170,170,170,170,170
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Business%2C+Office+%26+Industrial+",233,0,110,111,99,171,1423,0.13,0.00,110,110,110,110,110,130,140,160,170,170,170,170
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Clothing+%26+Accessories+",213,0,110,113,102,171,1409,0.12,0.00,110,110,110,110,120,140,170,170,170,170,170,170
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Coins+",221,0,110,113,99,187,1375,0.12,0.00,110,110,110,110,120,140,170,170,190,190,190,190
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Computers+",227,0,110,112,104,171,1383,0.13,0.00,110,110,110,110,120,140,160,160,170,170,170,170
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Antiques+%26+Art+",253,0,110,112,106,171,1393,0.14,0.00,110,110,110,110,110,130,160,170,170,170,170,170
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Books+",218,0,110,112,102,171,1375,0.12,0.00,110,110,110,110,120,140,140,170,170,170,170,170
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Business%2C+Office+%26+Industrial+",227,0,110,112,104,218,1423,0.13,0.00,110,110,110,110,110,130,170,170,220,220,220,220
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Clothing+%26+Accessories+",247,0,110,113,97,174,1409,0.14,0.00,110,110,110,110,120,140,170,170,170,170,170,170
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Coins+",235,0,110,113,101,187,1375,0.13,0.00,110,110,110,110,130,150,170,170,190,190,190,190
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Computers+",244,0,110,113,104,218,1383,0.14,0.00,110,110,110,110,120,140,170,170,220,220,220,220
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Antiques+%26+Art+",220,0,110,115,99,234,1393,0.12,0.00,110,110,110,110,130,160,160,170,230,230,230,230
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Books+",226,0,110,111,102,187,1375,0.13,0.00,110,110,110,110,110,130,160,170,190,190,190,190
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Business%2C+Office+%26+Industrial+",218,0,110,114,100,204,1423,0.12,0.00,110,110,110,110,130,160,170,180,200,200,200,200
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Clothing+%26+Accessories+",229,0,110,112,102,171,1409,0.13,0.00,110,110,110,110,120,130,160,160,170,170,170,170
