"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Antiques+%26+Art+",1356,656,21000,19943,24,129901,719,0.75
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Books+",1290,613,21000,20154,15,153293,721,0.72
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Business%2C+Office+%26+Industrial+",1252,620,21000,21062,15,130378,718,0.70
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Clothing+%26+Accessories+",1229,578,21000,20934,12,140897,746,0.68
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Coins+",1215,583,21000,20754,20,129852,715,0.68
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Computers+",1287,629,21000,20973,43,132409,707,0.72
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Antiques+%26+Art+",1184,574,21000,20332,14,134951,717,0.66
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Books+",1346,640,21000,20173,47,132427,721,0.75
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Business%2C+Office+%26+Industrial+",1262,585,21000,19943,17,122885,763,0.70
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Clothing+%26+Accessories+",1224,589,21000,19746,19,126814,730,0.68
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Coins+",1251,619,21000,21471,33,136371,694,0.70
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Computers+",1278,592,21000,20271,22,137791,742,0.71
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Antiques+%26+Art+",1210,570,21000,20460,22,188087,736,0.67
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Books+",1260,572,21000,19954,15,127934,750,0.70
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Business%2C+Office+%26+Industrial+",1315,610,21000,19776,28,147666,762,0.73
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Clothing+%26+Accessories+",1260,585,21000,20358,46,112820,754,0.70
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Coins+",1198,558,21000,20946,29,125327,734,0.67
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Computers+",1249,579,21000,20359,21,133583,741,0.69
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Antiques+%26+Art+",1261,573,21000,19739,24,127376,760,0.70
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Books+",1256,554,21000,19322,8,118148,768,0.70
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Business%2C+Office+%26+Industrial+",1249,577,21000,20634,6,159844,765,0.69
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Clothing+%26+Accessories+",1225,564,21000,20034,6,116117,760,0.68
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Coins+",1245,622,21000,21098,78,159828,688,0.69
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Computers+",1237,579,21000,20278,7,124899,735,0.69
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Antiques+%26+Art+",1297,593,21000,19773,22,132454,756,0.72
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Books+",1282,612,21000,20644,12,124890,718,0.71
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Business%2C+Office+%26+Industrial+",1258,598,21000,19879,26,129892,746,0.70
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Clothing+%26+Accessories+",1232,547,21000,20010,10,151803,783,0.68
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Coins+",1306,624,21000,20406,0,127002,718,0.73
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Computers+",1263,615,21000,20812,52,138383,709,0.70
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Antiques+%26+Art+",1267,593,21000,20451,21,145982,741,0.70
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Books+",1180,582,21000,20106,24,119468,696,0.66
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Business%2C+Office+%26+Industrial+",1283,626,21000,20663,4,137605,728,0.71
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Clothing+%26+Accessories+",1183,579,21000,19994,25,118179,719,0.66
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Coins+",1225,582,21000,20800,27,174085,721,0.68
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Computers+",1210,579,21000,20611,21,159774,721,0.67
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Antiques+%26+Art+",1254,558,21000,20331,73,120465,773,0.70
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Books+",1277,570,21000,19965,28,139190,761,0.71
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Business%2C+Office+%26+Industrial+",1217,598,21000,20653,57,129515,723,0.68
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Clothing+%26+Accessories+",1243,600,21000,20571,30,135163,728,0.69
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Coins+",1256,584,21000,20293,16,125110,735,0.70
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Computers+",1272,576,21000,19474,10,124910,756,0.71
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Antiques+%26+Art+",1260,593,21000,20504,2,138497,737,0.70
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Books+",1283,600,21000,19829,9,142107,731,0.71
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Business%2C+Office+%26+Industrial+",1303,604,21000,20543,20,138458,763,0.72
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Clothing+%26+Accessories+",1266,597,21000,20314,24,129847,744,0.70
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Coins+",1236,566,21000,19745,21,101653,745,0.69
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Computers+",1257,601,21000,20862,0,129845,721,0.70
"POST","/PHP/SearchItemsByCategory.php?category=37&categoryName=Antiques+%26+Art+",1246,580,21000,20738,15,122071,744,0.69
"POST","/PHP/SearchItemsByCategory.php?category=37&categoryName=Books+",1274,590,21000,20515,67,108771,738,0.71
"POST","/PHP/SearchItemsByCategory.php?category=37&categoryName=Business%2C+Office+%26+Industrial+",1284,594,21000,20573,36,159866,764,0.71
"POST","/PHP/SearchItemsByCategory.php?category=37&categoryName=Clothing+%26+Accessories+",1268,612,21000,20613,34,128224,728,0.70
"POST","/PHP/SearchItemsByCategory.php?category=37&categoryName=Coins+",1236,564,21000,19776,31,125582,747,0.69
"POST","/PHP/SearchItemsByCategory.php?category=37&categoryName=Computers+",1239,583,21000,20138,4,117449,732,0.69
"POST","/PHP/SearchItemsByCategory.php?category=4&categoryName=Antiques+%26+Art+",1223,609,21000,20884,27,124995,699,0.68
"POST","/PHP/SearchItemsByCategory.php?category=4&categoryName=Books+",1249,586,21000,20467,15,145752,729,0.69
"POST","/PHP/SearchItemsByCategory.php?category=4&categoryName=Business%2C+Office+%26+Industrial+",1246,585,21000,20238,16,123482,754,0.69
"POST","/PHP/SearchItemsByCategory.php?category=4&categoryName=Clothing+%26+Accessories+",1264,632,21000,21013,4,137331,704,0.70
"POST","/PHP/SearchItemsByCategory.php?category=4&categoryName=Coins+",1187,570,21000,20432,6,127821,714,0.66
"POST","/PHP/SearchItemsByCategory.php?category=4&categoryName=Computers+",1275,595,21000,19765,19,115298,737,0.71
"POST","/PHP/SearchItemsByCategory.php?category=40&categoryName=Antiques+%26+Art+",1248,578,21000,19985,17,129837,747,0.69
"POST","/PHP/SearchItemsByCategory.php?category=40&categoryName=Books+",1230,607,21000,20403,5,123310,696,0.68
"POST","/PHP/SearchItemsByCategory.php?category=40&categoryName=Business%2C+Office+%26+Industrial+",1323,615,21000,20007,33,114504,761,0.74
"POST","/PHP/SearchItemsByCategory.php?category=40&categoryName=Clothing+%26+Accessories+",1313,607,21000,19853,21,157510,757,0.73
"POST","/PHP/SearchItemsByCategory.php?category=40&categoryName=Coins+",1283,600,21000,20017,19,130851,731,0.71
"POST","/PHP/SearchItemsByCategory.php?category=40&categoryName=Computers+",1257,626,21000,20840,19,131218,694,0.70
"POST","/PHP/SearchItemsByCategory.php?category=58&categoryName=Antiques+%26+Art+",1228,594,21000,20006,24,138605,719,0.68
"POST","/PHP/SearchItemsByCategory.php?category=58&categoryName=Books+",1293,658,21000,21577,58,182320,675,0.72
"POST","/PHP/SearchItemsByCategory.php?category=58&categoryName=Business%2C+Office+%26+Industrial+",1322,643,21000,21373,23,127868,730,0.73
"POST","/PHP/SearchItemsByCategory.php?category=58&categoryName=Clothing+%26+Accessories+",1194,572,21000,20751,4,118631,734,0.66
"POST","/PHP/SearchItemsByCategory.php?category=58&categoryName=Coins+",1301,644,21000,20569,15,127938,694,0.72
"POST","/PHP/SearchItemsByCategory.php?category=58&categoryName=Computers+",1255,594,21000,20012,13,131317,728,0.70
"POST","/PHP/SearchItemsByCategory.php?category=61&categoryName=Antiques+%26+Art+",1248,596,21000,20351,9,120253,727,0.69
"POST","/PHP/SearchItemsByCategory.php?category=61&categoryName=Books+",1250,605,21000,20871,25,132378,709,0.69
"POST","/PHP/SearchItemsByCategory.php?category=61&categoryName=Business%2C+Office+%26+Industrial+",1326,619,21000,20360,17,139582,758,0.74
"POST","/PHP/SearchItemsByCategory.php?category=61&categoryName=Clothing+%26+Accessories+",1258,580,21000,20130,50,110410,759,0.70
