"Type","Name","Timestamp","# requests","# failures","Requests/s","Requests Failed/s","Median response time","Average response time","Min response time","Max response time","Average Content Size","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"None","Aggregated","1591278947",32,0,0.00,0.00,110,131,109,578.12,1393.25,110,110,120,140,160,160,580,580,580,580,580,580
"None","Aggregated","1591278949",100,0,0.00,0.00,110,122,109,578.12,1392.56,110,110,120,130,140,160,180,580,580,580,580,580
"None","Aggregated","1591278951",100,0,0.00,0.00,110,122,109,578.12,1392.56,110,110,120,130,140,160,180,580,580,580,580,580
"None","Aggregated","1591278953",116,0,16.67,0.00,110,120,109,578.12,1392.14,110,110,120,130,140,160,180,180,580,580,580,580
"None","Aggregated","1591278955",163,0,14.12,0.00,110,120,109,578.12,1391.90,110,110,120,130,130,160,180,220,580,580,580,580
"None","Aggregated","1591278957",199,0,15.50,0.00,110,119,103,578.12,1393.07,110,110,120,120,130,160,200,230,250,250,250,250
"None","Aggregated","1591278959",212,0,15.90,0.00,110,119,103,578.12,1393.08,110,110,110,110,130,160,230,250,250,250,250,250
"None","Aggregated","1591278961",243,0,10.60,0.00,110,119,102,578.12,1393.26,110,110,110,120,130,160,230,250,250,250,250,250
"None","Aggregated","1591278964",273,0,13.30,0.00,110,120,102,578.12,1393.78,110,110,110,120,140,220,250,250,270,270,270,270
"None","Aggregated","1591278966",299,0,14.20,0.00,110,120,102,578.12,1393.99,110,110,120,120,140,190,250,270,270,270,270,270
"None","Aggregated","1591278968",330,0,12.80,0.00,110,120,102,578.12,1393.72,110,110,120,120,140,220,250,270,270,270,270,270
"None","Aggregated","1591278970",360,0,12.20,0.00,110,120,102,578.12,1393.46,110,110,110,120,130,220,250,270,270,270,270,270
"None","Aggregated","1591278972",386,0,13.70,0.00,110,120,102,578.12,1393.38,110,110,110,120,130,250,260,270,270,270,270,270
"None","Aggregated","1591278974",415,0,13.40,0.00,110,120,102,578.12,1392.80,110,110,110,110,130,250,260,260,270,270,270,270
"None","Aggregated","1591278977",448,0,13.50,0.00,110,120,102,578.12,1393.12,110,110,110,110,130,160,260,260,270,270,270,270
"None","Aggregated","1591278979",466,0,14.20,0.00,110,120,102,578.12,1393.29,110,110,110,120,130,230,270,290,290,290,290,290
"None","Aggregated","1591278981",496,0,12.90,0.00,110,121,102,578.12,1393.30,110,110,110,120,130,250,290,290,290,290,290,290
"None","Aggregated","1591278983",527,0,12.30,0.00,110,121,102,578.12,1393.21,110,110,110,120,130,250,290,290,290,290,290,290
"None","Aggregated","1591278985",557,0,13.00,0.00,110,120,102,578.12,1393.03,110,110,110,110,120,260,290,290,290,290,290,290
"None","Aggregated","1591278987",581,0,12.90,0.00,110,120,102,578.12,1392.97,110,110,110,110,130,220,280,280,290,290,290,290
"None","Aggregated","1591278990",607,0,12.40,0.00,110,120,102,578.12,1392.86,110,110,110,110,120,130,220,260,270,270,270,270
"None","Aggregated","1591278992",634,0,12.70,0.00,110,120,102,578.12,1392.80,110,110,110,110,120,130,220,260,270,270,270,270
"None","Aggregated","1591278994",662,0,12.90,0.00,110,120,102,578.12,1392.63,110,110,110,110,120,200,220,270,270,270,270,270
"None","Aggregated","1591278996",686,0,12.30,0.00,110,120,102,578.12,1392.57,110,110,110,110,130,140,200,200,270,270,270,270
"None","Aggregated","1591278998",722,0,12.10,0.00,110,120,102,578.12,1392.45,110,110,110,120,130,200,270,270,270,270,270,270
"None","Aggregated","1591279000",753,0,12.70,0.00,110,120,100,578.12,1392.69,110,110,110,110,130,200,270,270,270,270,270,270
"None","Aggregated","1591279003",776,0,12.90,0.00,110,120,100,578.12,1392.80,110,110,110,130,130,220,270,270,270,270,270,270
"None","Aggregated","1591279005",805,0,13.10,0.00,110,120,100,578.12,1392.83,110,110,110,120,130,230,270,270,270,270,270,270
"None","Aggregated","1591279007",830,0,12.90,0.00,110,120,100,578.12,1392.71,110,110,110,120,130,140,250,250,270,270,270,270
"None","Aggregated","1591279009",865,0,13.20,0.00,110,120,100,578.12,1392.60,110,110,120,120,140,200,250,250,250,250,250,250
"None","Aggregated","1591279011",889,0,12.70,0.00,110,120,100,578.12,1392.62,110,110,110,120,130,160,250,250,270,270,270,270
