"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Antiques+%26+Art+",1206,0,16,11,0,140,1393,0.67,0.00,16,16,16,16,16,17,31,78,110,140,140,140
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Books+",1148,0,16,11,0,109,1375,0.64,0.00,16,16,16,16,16,16,31,62,110,110,110,110
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Business%2C+Office+%26+Industrial+",1152,0,16,11,0,95,1423,0.64,0.00,16,16,16,16,16,16,31,63,95,95,95,95
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Clothing+%26+Accessories+",1124,0,16,11,0,220,1409,0.62,0.00,16,16,16,16,16,17,31,66,94,220,220,220
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Coins+",1176,0,16,11,0,109,1375,0.65,0.00,16,16,16,16,16,16,31,63,94,110,110,110
"POST","/PHP/SearchItemsByCategory.php?category=10&categoryName=Computers+",1231,0,16,10,0,234,1383,0.68,0.00,16,16,16,16,16,16,31,31,140,230,230,230
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Antiques+%26+Art+",1162,0,16,11,0,93,1393,0.65,0.00,16,16,16,16,16,16,31,31,94,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Books+",1210,0,16,11,0,728,1375,0.67,0.00,16,16,16,16,16,16,31,62,95,730,730,730
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Business%2C+Office+%26+Industrial+",1190,0,16,11,0,142,1423,0.66,0.00,16,16,16,16,16,16,31,32,94,140,140,140
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Clothing+%26+Accessories+",1212,0,16,11,0,111,1409,0.67,0.00,16,16,16,16,16,16,31,63,94,110,110,110
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Coins+",1192,0,16,11,0,109,1375,0.66,0.00,16,16,16,16,16,16,31,47,94,110,110,110
"POST","/PHP/SearchItemsByCategory.php?category=13&categoryName=Computers+",1218,0,16,11,0,109,1383,0.68,0.00,16,16,16,16,16,17,31,78,110,110,110,110
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Antiques+%26+Art+",1148,0,16,11,0,109,1393,0.64,0.00,16,16,16,16,16,16,31,32,110,110,110,110
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Books+",1155,0,16,10,0,124,1375,0.64,0.00,16,16,16,16,16,16,31,31,94,120,120,120
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Business%2C+Office+%26+Industrial+",1165,0,16,11,0,140,1423,0.65,0.00,16,16,16,16,16,16,31,31,94,140,140,140
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Clothing+%26+Accessories+",1167,0,16,11,0,125,1409,0.65,0.00,16,16,16,16,16,17,31,47,95,130,130,130
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Coins+",1220,0,16,11,0,109,1375,0.68,0.00,16,16,16,16,16,16,31,62,110,110,110,110
"POST","/PHP/SearchItemsByCategory.php?category=16&categoryName=Computers+",1199,0,16,11,0,125,1383,0.67,0.00,16,16,16,16,16,17,31,47,110,130,130,130
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Antiques+%26+Art+",1186,0,16,11,0,95,1393,0.66,0.00,16,16,16,16,16,16,31,31,94,95,95,95
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Books+",1222,0,16,11,0,1015,1375,0.68,0.00,16,16,16,16,16,16,31,31,96,1000,1000,1000
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Business%2C+Office+%26+Industrial+",1182,0,16,11,0,93,1423,0.66,0.00,16,16,16,16,16,16,31,62,94,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Clothing+%26+Accessories+",1187,0,16,11,0,94,1409,0.66,0.00,16,16,16,16,16,16,31,31,94,95,95,95
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Coins+",1166,0,16,11,0,124,1375,0.65,0.00,16,16,16,16,16,16,31,47,94,120,120,120
"POST","/PHP/SearchItemsByCategory.php?category=19&categoryName=Computers+",1105,0,16,11,0,234,1383,0.61,0.00,16,16,16,16,16,16,31,78,110,230,230,230
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Antiques+%26+Art+",1114,0,16,11,0,109,1393,0.62,0.00,16,16,16,16,16,16,31,47,94,110,110,110
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Books+",1151,0,16,11,0,140,1375,0.64,0.00,16,16,16,16,16,16,31,31,94,140,140,140
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Business%2C+Office+%26+Industrial+",1176,0,16,11,0,109,1423,0.65,0.00,16,16,16,16,16,16,31,62,94,110,110,110
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Clothing+%26+Accessories+",1181,0,16,11,0,218,1409,0.66,0.00,16,16,16,16,16,16,31,63,110,220,220,220
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Coins+",1167,0,16,11,0,78,1375,0.65,0.00,16,16,16,16,16,16,31,31,78,78,78,78
"POST","/PHP/SearchItemsByCategory.php?category=22&categoryName=Computers+",1184,0,16,12,0,682,1383,0.66,0.00,16,16,16,16,16,16,31,90,110,680,680,680
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Antiques+%26+Art+",1170,0,16,11,0,124,1393,0.65,0.00,16,16,16,16,16,16,31,34,94,120,120,120
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Books+",1116,0,16,12,0,140,1375,0.62,0.00,16,16,16,16,16,17,31,78,130,140,140,140
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Business%2C+Office+%26+Industrial+",1151,0,16,11,0,109,1423,0.64,0.00,16,16,16,16,16,16,31,31,94,110,110,110
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Clothing+%26+Accessories+",1195,0,16,11,0,109,1409,0.66,0.00,16,16,16,16,16,16,31,78,110,110,110,110
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Coins+",1192,0,16,11,0,218,1375,0.66,0.00,16,16,16,16,16,16,31,47,110,220,220,220
"POST","/PHP/SearchItemsByCategory.php?category=25&categoryName=Computers+",1174,0,16,10,0,157,1383,0.65,0.00,16,16,16,16,16,16,31,78,140,160,160,160
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Antiques+%26+Art+",1177,0,16,11,0,218,1393,0.65,0.00,16,16,16,16,16,16,31,78,200,220,220,220
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Books+",1205,0,16,11,0,219,1375,0.67,0.00,16,16,16,16,16,16,31,47,95,220,220,220
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Business%2C+Office+%26+Industrial+",1214,0,16,12,0,1032,1423,0.67,0.00,16,16,16,16,16,16,31,78,110,1000,1000,1000
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Clothing+%26+Accessories+",1171,0,16,10,0,156,1409,0.65,0.00,16,16,16,16,16,16,31,31,95,160,160,160
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Coins+",1158,0,16,11,0,218,1375,0.64,0.00,16,16,16,16,16,16,31,78,110,220,220,220
"POST","/PHP/SearchItemsByCategory.php?category=28&categoryName=Computers+",1122,0,16,11,0,234,1383,0.62,0.00,16,16,16,16,16,16,31,78,110,230,230,230
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Antiques+%26+Art+",1103,0,16,11,0,109,1393,0.61,0.00,16,16,16,16,16,16,31,78,94,110,110,110
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Books+",1156,0,16,12,0,1017,1375,0.64,0.00,16,16,16,16,16,16,31,78,140,1000,1000,1000
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Business%2C+Office+%26+Industrial+",1138,0,16,11,0,218,1423,0.63,0.00,16,16,16,16,16,16,31,78,130,220,220,220
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Clothing+%26+Accessories+",1234,0,16,11,0,109,1409,0.69,0.00,16,16,16,16,16,16,31,62,110,110,110,110
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Coins+",1168,0,16,10,0,93,1375,0.65,0.00,16,16,16,16,16,16,31,31,78,94,94,94
"POST","/PHP/SearchItemsByCategory.php?category=31&categoryName=Computers+",1150,0,16,12,0,1018,1383,0.64,0.00,16,16,16,16,16,16,31,62,94,1000,1000,1000
"POST","/PHP/SearchItemsByCategory.php?category=37&categoryName=Antiques+%26+Art+",1199,0,16,10,0,95,1393,0.67,0.00,16,16,16,16,16,16,31,47,94,95,95,95
"POST","/PHP/SearchItemsByCategory.php?category=37&categoryName=Books+",1126,0,16,11,0,109,1375,0.63,0.00,16,16,16,16,16,16,31,78,94,110,110,110
"POST","/PHP/SearchItemsByCategory.php?category=37&categoryName=Business%2C+Office+%26+Industrial+",1126,0,16,11,0,140,1423,0.63,0.00,16,16,16,16,16,16,31,64,110,140,140,140
